source_identifier,model,parents,remote_files,sequence,visibility,has_work_type,rdf_type,title,alternative_title,date_issued,date_issued_d,extent,form,subject,abstract,spatial,coordinates,language,resource_type,provider,repository,rights_statement,primary_identifier
AR0806_00816_01,Image,collections:utphotoserv,,,open,,,Men at Oak Ridge Experiment Station,,,,,,Research facilities,,,,,,,,,
AR0806_00816_01_attachment,Attachment,AR0806_00816_01,,,open,,http://pcdm.org/use#IntermediateFile,Image for AR0806_00816_01,,,,,,,,,,,,,,,AR0806_00816_01_attachment
AR0806_00816_01_fileset,FileSet,AR0806_00816_01_attachment,http://hykuimports.lib.utk.edu/files/hyku-import/AR0806_00816_01_i.jp2,,open,,http://pcdm.org/use#IntermediateFile,Image for AR0806_00816_01,,,,,,,,,,,,,,,AR0806_00816_01_fileset
AR0806_00816_02,Image,collections:utphotoserv,,,open,,,Men at Oak Ridge Experiment Station,,,,,,Research facilities,,,,,,,,,
AR0806_00816_02_attachment,Attachment,AR0806_00816_02,,,open,,http://pcdm.org/use#IntermediateFile,Image for AR0806_00816_02,,,,,,,,,,,,,,,AR0806_00816_02_attachment
AR0806_00816_02_fileset,FileSet,AR0806_00816_02_attachment,http://hykuimports.lib.utk.edu/files/hyku-import/AR0806_00816_02_i.jp2,,open,,http://pcdm.org/use#IntermediateFile,Image for AR0806_00816_02,,,,,,,,,,,,,,,AR0806_00816_02_fileset
AR0806_00816_03,Image,collections:utphotoserv,,,open,,,Men at Oak Ridge Experiment Station,,,,,,Research facilities,,,,,,,,,
AR0806_00816_03_attachment,Attachment,AR0806_00816_03,,,open,,http://pcdm.org/use#IntermediateFile,Image for AR0806_00816_03,,,,,,,,,,,,,,,AR0806_00816_03_attachment
AR0806_00816_03_fileset,FileSet,AR0806_00816_03_attachment,http://hykuimports.lib.utk.edu/files/hyku-import/AR0806_00816_03_i.jp2,,open,,http://pcdm.org/use#IntermediateFile,Image for AR0806_00816_03,,,,,,,,,,,,,,,AR0806_00816_03_fileset
AR0806_00816_04,Image,collections:utphotoserv,,,open,,,Man opening gate for car at Oak Ridge Experiment Station,,,,,,Men,,,,,,,,,
AR0806_00816_04_attachment,Attachment,AR0806_00816_04,,,open,,http://pcdm.org/use#IntermediateFile,Image for AR0806_00816_04,,,,,,,,,,,,,,,AR0806_00816_04_attachment
AR0806_00816_04_fileset,FileSet,AR0806_00816_04_attachment,http://hykuimports.lib.utk.edu/files/hyku-import/AR0806_00816_04_i.jp2,,open,,http://pcdm.org/use#IntermediateFile,Image for AR0806_00816_04,,,,,,,,,,,,,,,AR0806_00816_04_fileset
AR0806_00816_05,Image,collections:utphotoserv,,,open,,,Woman in laboratory,,,,,,Women,,,,,,,,,
AR0806_00816_05_attachment,Attachment,AR0806_00816_05,,,open,,http://pcdm.org/use#IntermediateFile,Image for AR0806_00816_05,,,,,,,,,,,,,,,AR0806_00816_05_attachment
AR0806_00816_05_fileset,FileSet,AR0806_00816_05_attachment,http://hykuimports.lib.utk.edu/files/hyku-import/AR0806_00816_05_i.jp2,,open,,http://pcdm.org/use#IntermediateFile,Image for AR0806_00816_05,,,,,,,,,,,,,,,AR0806_00816_05_fileset
AR0806_00816_06,Image,collections:utphotoserv,,,open,,,Woman in laboratory,,,,,,Women,,,,,,,,,
AR0806_00816_06_attachment,Attachment,AR0806_00816_06,,,open,,http://pcdm.org/use#IntermediateFile,Image for AR0806_00816_06,,,,,,,,,,,,,,,AR0806_00816_06_attachment
AR0806_00816_06_fileset,FileSet,AR0806_00816_06_attachment,http://hykuimports.lib.utk.edu/files/hyku-import/AR0806_00816_06_i.jp2,,open,,http://pcdm.org/use#IntermediateFile,Image for AR0806_00816_06,,,,,,,,,,,,,,,AR0806_00816_06_fileset
AR0806_00816_07,Image,collections:utphotoserv,,,open,,,Woman in laboratory,,,,,,Women,,,,,,,,,
AR0806_00816_07_attachment,Attachment,AR0806_00816_07,,,open,,http://pcdm.org/use#IntermediateFile,Image for AR0806_00816_07,,,,,,,,,,,,,,,AR0806_00816_07_attachment
AR0806_00816_07_fileset,FileSet,AR0806_00816_07_attachment,http://hykuimports.lib.utk.edu/files/hyku-import/AR0806_00816_07_i.jp2,,open,,http://pcdm.org/use#IntermediateFile,Image for AR0806_00816_07,,,,,,,,,,,,,,,AR0806_00816_07_fileset
AR0806_00816_08,Image,collections:utphotoserv,,,open,,,Man opening gate for car at Oak Ridge Experiment Station,,,,,,Men,,,,,,,,,
AR0806_00816_08_attachment,Attachment,AR0806_00816_08,,,open,,http://pcdm.org/use#IntermediateFile,Image for AR0806_00816_08,,,,,,,,,,,,,,,AR0806_00816_08_attachment
AR0806_00816_08_fileset,FileSet,AR0806_00816_08_attachment,http://hykuimports.lib.utk.edu/files/hyku-import/AR0806_00816_08_i.jp2,,open,,http://pcdm.org/use#IntermediateFile,Image for AR0806_00816_08,,,,,,,,,,,,,,,AR0806_00816_08_fileset
AR0806_00816_09,Image,collections:utphotoserv,,,open,,,Man with donkey,,,,,,Animals,,,,,,,,,
AR0806_00816_09_attachment,Attachment,AR0806_00816_09,,,open,,http://pcdm.org/use#IntermediateFile,Image for AR0806_00816_09,,,,,,,,,,,,,,,AR0806_00816_09_attachment
AR0806_00816_09_fileset,FileSet,AR0806_00816_09_attachment,http://hykuimports.lib.utk.edu/files/hyku-import/AR0806_00816_09_i.jp2,,open,,http://pcdm.org/use#IntermediateFile,Image for AR0806_00816_09,,,,,,,,,,,,,,,AR0806_00816_09_fileset
AR0806_00816_10,Image,collections:utphotoserv,,,open,,,Man looking in microscope,,,,,,Men,,,,,,,,,
AR0806_00816_10_attachment,Attachment,AR0806_00816_10,,,open,,http://pcdm.org/use#IntermediateFile,Image for AR0806_00816_10,,,,,,,,,,,,,,,AR0806_00816_10_attachment
AR0806_00816_10_fileset,FileSet,AR0806_00816_10_attachment,http://hykuimports.lib.utk.edu/files/hyku-import/AR0806_00816_10_i.jp2,,open,,http://pcdm.org/use#IntermediateFile,Image for AR0806_00816_10,,,,,,,,,,,,,,,AR0806_00816_10_fileset
